Time,Treatments,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,Replicates,Experiments
10.285714,S2-S6-S11-S13-S14-S15_850693,0.0,0.0065219942,0.0,0.0,0.0,0.002485314,0.0,0.0,0.0,0.0,0.004224784,0.0,0.006311767,0.0013547686,0.0039432505,4.7854714,0.0006036047,2.806806,0.0,0.47939745,6.0627737,0.0007632227,0.003943118,0.17247096,2.5284927,0.0,0.32690325,0.3909281,2.2158155,0.39046347,0.0,0.55744684,1.4596288,3.4554994,0.43609163,0.0011008923,2.5046248,0.0001790634,1.6893628,0.001838708,0.0,0.832015,2.8167875,0.00067376514,0.0,0.0,0.00045437375,0.0,0.00091727544,0.20379966,3.0279968,2.830551,0.0,0.0007959396,0.0,0,1883
13.714286,S2-S6-S11-S13-S14-S15_850693,0.0,0.009371648,0.0,0.0,0.0,0.0016117041,0.0,0.0,0.0,0.0,0.0037531075,0.0,0.0028967645,0.0055541215,0.0064757024,3.5647857,0.00030275635,0.79357845,0.0,0.38925228,3.162657,0.00031485164,0.006136661,0.0781898,4.4328794,0.0012116394,0.20979045,0.2028908,2.514177,0.16393074,0.0,0.6278342,1.4578556,2.5916169,0.3923389,0.0,2.214611,0.0010022104,1.5200748,0.0,0.0,0.5122476,2.6919096,7.836478e-05,0.0,0.0,5.476456e-05,0.0,0.0006948298,0.14746301,3.8796468,3.470664,0.0,0.0034322778,0.0,0,1883
17.142857,S2-S6-S11-S13-S14-S15_850693,0.0,0.0116795255,0.0,0.0,0.0,0.0034235818,0.0,0.0,0.0,0.0,0.0042592506,0.0,0.0035294828,0.0011353287,0.0039459397,3.9992669,0.0,3.9442325,0.0,0.33589906,3.5661736,0.0004940515,0.014138423,0.1280814,4.1566453,0.0011602168,0.33984312,0.24702136,1.9000947,0.4517342,0.00044643722,0.34072188,1.7619218,3.5138023,0.42721564,0.0,1.2627214,0.0,1.2215021,8.342614e-05,0.0011038743,0.32432607,2.4360979,0.0,0.0,0.0022501294,0.0020146181,0.0,0.0,0.20102514,4.7123256,2.2478757,0.0,0.0026173212,0.0001661659,0,1883
20.571428,S2-S6-S11-S13-S14-S15_850693,0.0,0.01634412,0.0,0.0,0.0,0.0035944786,0.0,0.0,0.0,0.0,0.0022315867,0.0,0.0052154255,0.0033843936,0.006185795,5.553182,0.0015363129,3.2655158,0.0,0.47149023,4.365286,0.0,0.013448336,0.08923952,2.4732292,0.00023061642,0.38952124,0.28903946,2.3677664,0.3892802,0.0,0.54940546,1.1065184,3.064955,0.39651093,0.0006305068,2.1792731,0.0,1.7286165,2.371697e-05,0.00051414716,0.7234518,2.3419118,0.0017971243,0.0,0.0,0.0005483065,0.0014542944,0.0,0.2170091,4.027804,4.271332,6.284227e-05,0.0024255195,0.0,0,1883
24.0,S2-S6-S11-S13-S14-S15_850693,0.0,0.009220183,0.0,0.0,0.0,0.0025274595,0.0,0.0,0.0,0.0,0.0039533754,0.0,0.00048676526,0.0019755987,0.0014712734,4.4961405,0.0012179029,4.8740897,0.0,0.5845487,5.8243823,0.0018941202,0.0069878576,0.0895363,2.621579,0.00045245403,0.25559285,0.24657747,2.2809346,0.9009321,2.0796397e-05,0.6805008,1.7217996,5.1091,0.5498583,0.0012944634,3.2209191,0.0012197985,1.8603855,0.0023115056,0.0,0.7951477,2.1973693,0.0,0.00051072927,0.0007102399,0.00096224446,0.0004949685,0.00012832029,0.28996956,3.4973545,5.0120306,0.0014623518,0.0028574432,0.0005898521,0,1883
0.0,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.002677034,0.0,0.0,0.0,0.0,0.0024304627,0.002650427,0.0,0.0028107911,0.0024241304,0.0,0.0056446968,0.0,0.0013624562,3.9947252,0.0,0.0,0.0,0.0,2.1211846,0.0,0.0,1.8344091,0.25258908,0.0,1.7071015,0.0,2.1281674,0.0,1.3948964,0.0,2.8228142,0.0,0.36358485,0.0,0.0,4.0803924,0.31203327,0.0,1.0622076,0.0,0.45560798,2.7809224,2.205486,2.2637284,2.0733128,0.31511483,2.9496038,0.209138,0.0,3.067433,0.92854774,2.26647,0.0,0,1884
3.4285715,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.004687842,0.0,0.0,0.0,0.0,0.0021454555,0.003785805,0.0,0.004336191,0.0045941155,0.0,0.0028800578,0.0,0.0013656188,4.636604,0.0,0.0,0.0,0.0,1.683604,1.5906702e-05,0.0026951402,2.0181608,0.32941616,0.0,1.8705052,0.0,2.719833,0.0,1.3469496,3.170991e-05,3.0064683,0.0014388381,0.3044959,0.0,0.00039716283,3.2541344,0.3683214,0.0,1.1477356,0.0022135573,0.30574384,1.775908,2.887703,2.0680106,2.3446584,0.23607853,2.7299895,0.26940042,0.0017707304,2.999978,1.0425829,2.8607316,0.0,0,1884
6.857143,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.0032664614,0.0,0.0,0.0,0.0,0.0030239355,0.0024849311,0.0,0.004153673,0.0036741395,0.0,0.006732436,0.0,0.00021259715,5.297511,0.00026601597,0.0026089316,0.00029082326,0.0005204912,2.2667708,0.0024754587,0.0043941922,1.6037309,0.19509423,0.0,1.4940122,0.0,3.134093,0.000600456,2.0622287,0.0,3.6095762,0.0022180406,0.510907,0.0014808219,0.0008115347,1.8290735,0.32825598,0.0013104224,1.3785472,0.0057581053,0.5013257,2.5917442,2.8237946,3.9987812,1.6635473,0.09402989,2.1143847,0.28092867,0.0020980388,4.345288,1.1057113,1.3031148,4.9694743e-05,0,1884
10.285714,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.008727509,0.0,0.0,0.0,0.0,0.0022962922,0.005886817,0.0,0.010120604,0.0013239608,0.0,0.0055528614,0.0,0.00076768745,5.2047253,0.0,0.0,0.0020307917,0.0014238582,3.084278,0.00034581296,0.006404423,1.1072005,0.19628246,0.0014633882,1.5310112,0.00094175746,1.6684598,0.0,0.6202883,0.00083773286,3.3009765,0.0012931969,0.3185373,0.0014427525,0.003643193,5.5753865,0.3494392,0.0,1.181138,0.008132078,0.51778704,2.9438183,2.9187088,2.1467135,2.6685221,0.3932709,2.3875523,0.32038662,0.0017006688,2.3985624,1.2399241,2.055909,0.00026760815,0,1884
13.714286,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.011784907,0.0,0.0,0.0,0.0,0.002435273,0.0050039263,0.0,0.012431051,0.0036797405,0.0,0.0038188961,0.0,0.0015098742,3.7980494,8.851301e-05,0.0,0.0018109856,0.0032807998,2.5257587,0.0020985072,0.009041352,1.7896508,0.25283676,0.0,1.9915956,0.0007120889,2.0836897,0.0,2.3638866,0.0,1.7835901,0.0016234983,0.3164416,0.0,0.004611683,5.102589,0.3200596,0.0014470344,0.23673218,0.010827881,0.41659024,2.4813635,2.6359723,1.5036182,1.9353487,0.30378544,2.9738657,0.13235496,0.00095777964,3.25658,0.7881168,1.7858381,0.0,0,1884
